Time,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11
270,14486,18966,14252,17086,14334,14481,15053,15011,14580,14808,14861,19016,14246,16870,14601,14328,15111,14900,14727,14798,14464,16675,14863,17229,14696,14525,14818,15095,14934,14558,14270,16791,14943,16575,14549,13986,14594,14606,14985,14853,14424,16877,14484,16968,14339,14347,14871,14421,14861,14736,14414,16324,14533,17099,14382,13799,14503,14679,14585,14505
280,14512,20186,14573,17763,14556,14616,14940,15097,14769,14932,15001,19954,14495,17211,14929,14355,15301,15158,14831,15089,14493,17045,14721,17362,14689,14430,14792,14853,14751,14833,14266,17264,14939,17134,14588,14023,14899,14874,14827,14923,14513,17431,14476,17371,14532,14355,14536,14874,14635,14745,14598,16984,14605,17246,14522,14274,14483,14678,14732,14503
290,14741,21021,14423,18637,14715,14363,14873,15090,14668,14868,15281,21068,14678,17785,14719,14426,15518,15208,14915,14814,14439,17535,15054,18345,15100,14481,14863,15022,15084,14798,14232,17393,14902,18275,14513,14155,14712,14671,15078,15132,14853,17950,14626,18400,14241,14331,14952,14823,14678,14662,14540,17562,14861,18259,14413,14179,14741,14965,14683,14560
300,14857,22249,14449,19642,14495,14581,15264,15340,15110,14864,15141,22169,14982,18503,14732,14382,15500,15187,14851,14860,14427,17596,14928,19152,14917,14712,14775,14798,15022,14981,14503,17566,14968,19290,14160,14150,14727,15103,15027,14938,14601,18818,14928,19059,14214,14359,14950,15186,14808,14659,14558,18448,14908,19062,14216,14236,14535,14851,14823,14824
310,14942,23616,14506,20438,14848,14447,15425,15558,14966,15126,15132,23674,14773,19366,14566,14320,15373,15509,14887,15073,14533,17980,15164,20158,14923,14471,15145,15183,15042,15048,14300,17893,15207,20149,14663,14209,14941,15015,14905,15091,14437,19483,14647,20365,14093,14289,14985,14879,14925,14643,14649,19281,14876,19935,14065,14118,14858,15083,14751,14694
320,15053,25032,14746,21624,14531,14578,15117,15386,14960,15277,15312,25077,14801,20385,15001,14311,15443,15273,14962,15192,14714,18017,15204,20860,14683,14466,14985,14911,15326,15069,14606,18042,14975,21046,14489,14123,14959,14771,15047,15287,14795,21020,14851,21604,14258,14373,15017,14992,15188,14936,14679,19783,14955,20857,14247,14372,14897,14944,14746,15031
330,14964,26436,14943,22519,14550,14448,15242,15735,14866,15395,15359,26592,14888,21560,14575,14325,15815,15341,15169,15166,14630,18355,14880,22358,14601,14511,15084,15155,14910,15365,14322,18713,15187,22344,14468,14295,14975,15113,15255,15296,14767,22098,14889,22458,14084,14211,14988,15232,14962,14789,14798,21320,15201,22137,14573,14040,14964,15009,14901,15005
340,14972,24746,15189,24303,14505,14746,15414,15633,15169,15121,15413,24610,14941,22904,14876,14016,15502,15477,15123,15268,14719,18503,15051,23863,14560,14491,15095,15287,15371,15089,14762,18991,15133,23438,14338,14075,14783,15218,15451,15147,14948,23417,14900,23878,14075,14347,14940,14886,15442,14994,14746,22630,15179,23438,14313,14148,14938,15061,14881,15194
350,15094,22301,14855,25384,14687,14400,15188,15334,15199,15192,15219,22493,14980,23703,14675,14293,15509,15541,15539,15204,14866,19195,15049,25150,14705,14435,15099,15191,15114,15173,14743,19240,15156,24574,14512,14111,14951,15136,15414,15092,15047,24917,14762,25528,13916,14409,15065,15198,15215,15114,14713,23811,15058,24967,14185,14263,14751,15072,14836,14843
360,15027,22712,15199,26368,14415,14570,15309,15444,15201,14951,15191,22596,15219,25221,14528,14135,15598,15363,14981,14834,14887,19401,14877,26235,14705,14482,15302,15151,15291,15260,14619,19552,15137,26175,14428,13931,14996,15432,15295,15153,15143,26337,15122,26416,14185,14380,15307,15173,15150,15033,14763,25291,15104,25961,14311,14337,15129,15087,14761,15167
370,15133,22939,14964,24791,14620,14462,15332,15559,15279,14975,15198,22577,15152,26234,14467,14220,15661,15493,15356,15213,14862,19991,15124,25107,14846,14469,15265,15169,15320,15217,14820,20014,14999,24512,14505,14125,15157,15187,15084,15236,15170,24214,15150,24711,13994,14346,15345,14999,14981,14872,14689,26543,14744,24624,14368,14035,14997,15147,14838,15046
380,14980,23265,15089,22801,14809,14641,15331,15407,14974,15218,15522,23347,15471,23775,14769,14304,15354,15530,15156,14928,14894,20310,15039,23025,14704,14539,15125,15362,15187,15048,14923,20619,15362,22580,14529,14106,15053,15336,15368,15221,15088,21769,15073,22495,14183,14108,15050,14864,15044,14921,14679,23934,15065,22390,14338,14035,15218,15023,14754,15016
390,15151,23552,15183,22813,14295,14479,15076,15410,15237,15190,15405,23371,14915,22602,14697,14258,15543,15301,15382,15337,15060,20669,15112,23100,14760,14373,15241,15066,15130,15280,14917,20532,15098,22877,14549,14112,14919,15304,15044,15031,15024,22327,14910,22812,14232,14467,14867,14812,14973,14869,14769,22318,15040,22751,14148,14137,15140,14757,14865,15011
400,15036,23613,15257,23311,14609,14469,15576,15159,15038,15080,15469,23737,15146,22779,14598,14543,15721,15015,15170,15046,14930,20857,15210,23188,14741,14519,15277,15269,15275,14952,14808,20593,14805,22798,14127,14197,15073,15244,15188,15202,15037,22875,15152,23576,14326,14219,15091,14721,15129,14968,14784,22654,15017,23024,14114,14049,15107,15153,14995,14988
410,15073,23424,15275,23476,14683,14201,15332,15351,15210,15362,15175,23760,15223,23455,14494,14253,15360,15234,15052,15076,14809,21176,15055,23521,14451,14488,15487,15327,15038,15134,14937,21010,15204,23065,14289,14099,15368,15311,15111,15106,14879,23263,14913,23577,13960,14122,15133,15137,15017,15001,15085,23053,14875,23223,14140,13713,15199,14932,14919,14990
420,15042,23996,15096,23435,14542,14344,15382,15273,15042,14850,15502,23725,15071,23247,14672,14362,15724,15571,15532,15318,14973,21859,15089,23795,14697,14619,15036,15476,15386,15162,14950,21628,15034,23413,14031,14035,15289,15347,15218,15313,14933,23310,15013,23798,14265,14287,15175,15395,15175,14615,14995,23340,14946,23754,14209,13782,15180,14900,15034,14948
430,15077,24121,15107,23725,14686,14489,15390,15521,15433,15071,15359,23897,15032,23619,14596,14306,15618,15564,15093,15248,15298,22093,15163,23971,14649,14276,15304,15341,15267,15075,15054,21966,15166,23651,14495,14048,15118,15570,15315,15185,14908,23531,15181,23974,14282,14393,15327,14939,15425,14792,14964,23615,15029,23815,14158,14007,15102,15022,15069,15084
440,15122,24291,15382,23754,14355,14292,15473,15819,15121,15246,15282,24341,15163,23682,14650,14153,15654,15292,15176,15120,15260,22523,15221,24199,14517,14459,15273,15307,15279,15107,14890,23403,15175,23558,14104,13881,15194,15465,15301,15116,15014,23343,15125,23999,14218,14363,15290,14999,15100,15257,14742,23564,15026,23629,14553,14251,15165,15302,14663,15050
450,15139,24201,15208,24007,14318,14666,15438,15529,15148,15232,15044,24388,15392,24132,14855,14338,15442,15700,15435,15224,15271,23656,15202,24048,14702,14734,15704,15498,14980,15431,14913,24309,14984,23997,14256,14162,15394,15913,15587,15501,15053,24025,15055,24490,14140,14208,15399,15112,15262,15064,14656,23919,15013,24190,14526,14191,15107,15240,14933,14830
460,15286,24339,15146,24448,14652,14478,15539,15449,15226,15299,15325,24377,15202,24211,14631,14134,15659,15360,15215,15516,15372,24993,15415,24630,14642,14442,15439,15496,15183,15469,15123,26478,15130,23963,14500,14152,15370,15679,15195,15260,15252,23944,14984,24319,14065,14124,15306,15085,15004,14891,14983,24051,15042,24371,14264,14197,15246,15199,14905,15052
470,15004,24680,15246,24619,14311,14452,15409,15405,15406,14986,15457,24292,15012,24446,14635,14402,15631,15445,15334,15173,15234,26458,15051,24723,14464,14409,15523,15681,15390,15178,15178,27313,15221,24094,14188,13861,15189,15660,15232,15200,14823,23845,14916,24539,14147,14183,15359,15027,14918,15125,14928,24326,14907,24338,14119,13940,15038,15111,15204,15064
480,15171,24557,15118,24463,14470,14484,15578,15298,15417,15417,15506,24451,15157,24438,14479,14105,15528,15337,15415,15104,15352,27282,15188,24626,14633,14480,15489,15801,15165,15166,15311,28426,15083,24291,14493,14200,15315,15645,15134,15275,14993,24098,14871,24985,14053,14323,15204,14903,15101,14841,14814,24360,15189,24343,14207,14183,15131,14936,14906,14902
490,15106,24729,15135,24774,14544,14338,15357,15352,15363,15198,15563,24980,15110,24547,14865,14194,15466,15296,15344,15035,15256,28363,15010,24798,14737,14645,15276,15834,15367,15205,15208,27297,15189,24316,14541,14140,15419,15364,15365,15470,15169,24233,15091,24502,14146,14389,15415,15057,15057,14903,14770,24508,14937,24349,14244,14074,14966,15301,14883,14942
500,15197,24388,15439,24810,14504,14360,15474,15511,15243,15290,15251,24604,15174,24881,14593,14090,15626,15271,15095,15363,15535,28416,14858,25365,14638,14332,15368,15712,15335,15202,15150,24339,15122,24607,14402,14119,15316,15458,15461,15289,15066,24448,14942,25088,14239,14220,15513,15269,15092,14765,14903,24780,15278,24702,14275,13867,15090,15131,14831,15118
510,15348,24573,15232,24968,14424,14520,15611,15342,15124,15122,15347,24667,15285,24661,14438,14170,15559,15458,15489,15288,15522,26461,15071,25094,14498,14568,15553,15403,15341,15389,14988,24151,15108,24518,14373,14067,15257,15770,15303,15152,15025,24522,14838,25073,14042,14195,15374,15093,15202,14926,14877,24440,15215,24918,14075,14277,15116,15024,15081,15164
520,15193,24909,15333,25111,14553,14499,15380,15289,15085,15160,15308,24594,15127,24742,14742,14202,15876,15677,15216,15095,15254,24719,14963,24998,14680,14486,15459,15571,15133,15318,15090,24684,15021,24541,14357,14100,15241,15570,15237,15248,15026,24531,14848,24926,13992,14185,15236,15040,15206,14654,15078,24626,14976,25072,14419,14016,15065,15145,15101,14906
530,15287,24320,15596,25062,14433,14274,15239,15433,15311,15135,15479,24636,15176,25081,14505,14291,15446,15497,15241,15250,15553,25414,15049,24970,14734,14107,15621,15576,15504,15205,15097,24720,15034,24651,14249,14023,15406,15596,15217,15300,15214,24493,15061,24796,13957,14204,15249,15267,15380,15198,14864,24795,15104,24854,14383,14118,15104,15006,15407,15018
540,15263,24609,15568,24964,14586,14232,15534,15429,15000,15207,15273,24872,15373,24962,14525,14353,15568,15709,15068,15288,15291,25382,15179,25190,14673,14629,15669,15646,15426,15176,15098,24834,15081,24570,14429,13993,15276,15345,15251,15287,15417,24365,15138,24973,14130,14196,15272,15089,15147,15180,15069,24725,15042,24771,14128,14055,15208,15187,14909,15064
550,14889,24690,15207,25146,14531,14403,15401,15559,15119,15041,15472,24660,15100,24973,14605,14206,15429,15412,15196,15235,15173,25764,15184,24899,14704,14550,15610,15856,15196,15336,15163,25096,14988,24766,14585,14210,15186,15769,15396,15210,14993,24544,15344,25070,14167,14251,15244,15182,15462,14829,14930,24631,15153,24816,14333,13860,15259,15070,15013,15237
560,15170,24434,15118,25133,14620,14194,15577,15459,15155,14868,15448,24852,15356,25103,14717,14094,15523,15518,15561,15347,15302,26197,15202,25051,14619,14325,15368,15580,15383,15315,15052,25030,15093,24555,14300,13969,15168,15576,15197,15090,14979,24505,15250,25176,14126,14316,15141,14990,14959,14826,14996,24915,14909,24899,14296,14272,15085,15103,15052,15036
570,15270,24237,15254,24692,14466,14398,15650,15668,15137,15268,15489,24730,15347,24919,14549,14231,15410,15423,15140,15356,15606,26161,15419,25247,14761,14133,15494,15364,15178,15189,15063,25207,15119,24722,14576,13984,15502,15645,15357,15454,15231,24314,15028,25098,14051,14156,15103,14987,15212,15168,14922,24925,15060,25028,14102,14007,15213,14932,15065,15037
580,15123,24878,15054,24926,14462,14524,15325,15637,15294,14986,15318,24709,15428,25237,14443,14481,15496,15527,15473,15179,15365,26080,15605,25534,14601,14433,15695,15453,15275,15479,15136,25156,15229,24868,14465,14225,15368,15678,15105,15181,15149,24587,14922,25174,13940,13902,15146,14923,14963,15025,14921,25092,15252,25012,13968,14044,15215,15070,14950,15224
590,15506,24492,15266,25484,14354,14534,15433,15707,15542,15047,15332,24377,15299,24839,14728,14153,15812,15180,15455,15283,15377,26277,15149,25281,14761,14171,15740,15569,15473,15019,14974,25334,15146,24898,14319,14054,15397,15514,15321,15313,15164,24429,15085,25440,13970,14149,15194,15111,15190,14915,14823,24848,15001,24929,14180,14173,15248,15211,14911,15246
600,15092,24827,15526,25094,14495,14639,15617,15629,15193,14976,15473,24755,15460,25126,14620,14092,15748,15649,15055,15286,15381,26156,15065,25284,14462,14373,15432,15749,15363,15218,14939,25069,15175,24817,14364,13873,15220,15493,15225,15278,14896,24515,15014,25083,14035,14574,15214,15047,15222,14851,14812,24969,15133,24993,13950,13914,15460,14891,14763,14903
610,15113,24844,15295,25200,14414,14670,15524,15520,15546,15059,15269,24612,15022,25126,14615,14259,15663,15432,15406,15265,15361,26565,15226,25226,14430,14256,15676,15700,15281,15392,15301,25727,15082,24732,14426,13857,15211,15635,15357,15104,15352,24219,15035,24894,13763,14247,15257,15044,15451,15103,14962,25078,15400,25140,14435,14015,15030,15108,15257,14890
620,15048,24709,15367,25200,14389,14445,15566,15655,15245,15292,15172,24283,15171,24913,14403,13982,15662,15075,15239,15192,15364,26394,15229,25320,14573,14337,15496,15630,15110,15307,14888,25532,15082,24602,14291,14086,15252,15512,15288,15343,15039,24447,15033,25024,14073,14069,15161,15265,15376,14742,15077,24944,15239,24951,14094,13912,15102,15047,14896,14971
630,15124,24604,15292,24877,14425,14496,15422,15580,15182,15123,15322,24477,15276,25179,14451,14178,15286,15414,15070,15334,15537,26720,14834,25413,14457,14489,15685,15625,15355,15141,15071,25413,15024,24783,14381,14170,15471,15601,15090,15208,15056,24401,15026,25424,14076,14227,15291,14924,15112,15199,14871,24885,15115,25124,14559,14126,15099,15043,15101,15171
640,15188,24733,15340,24926,14676,14459,15547,15479,15495,14967,15290,24525,15130,25231,14415,14160,15496,15373,15088,14941,15427,26258,15321,25524,14578,14270,15375,15625,15132,15128,15037,25321,15260,24950,14128,13801,15382,15540,15446,15333,15095,24570,15049,25207,14035,14327,15173,14885,15197,15272,14832,24682,15088,25049,14168,13930,15279,14936,14809,15181
650,15084,24810,15260,24908,14720,14442,15339,15538,15540,15360,15275,24662,15275,25350,14664,14132,15627,15555,15587,14916,15215,26653,15141,25578,14439,14438,15740,15738,15502,15245,14968,25843,15230,24741,14029,13882,15525,15772,15308,15478,15376,24474,14949,25495,13855,14133,15348,15196,15040,14895,15047,25055,14911,25281,14347,13963,15564,15150,15029,14930
660,15400,24636,15371,25061,14099,14320,15487,15480,15353,14955,15398,25086,15233,25407,14614,14027,15681,15360,15446,15280,15214,26671,14987,25795,14654,14100,15582,15553,15369,15348,15187,25867,15187,24514,14088,13962,15363,15778,15185,15380,14961,24656,15041,25537,13941,14198,15244,14937,15323,15105,14998,25043,15126,25510,14419,14003,15144,15261,14980,15032
670,15319,24889,15407,25406,14269,14373,15337,15416,15154,15283,15273,24516,15243,25414,14651,14110,15628,15601,15093,15284,15296,26777,15212,25444,14655,14390,15549,15600,15273,15263,14959,25885,14916,24681,14212,14069,15507,15623,15429,15296,15115,24424,14875,25553,14031,13957,15068,15207,15418,15016,14769,24832,15187,25413,14225,13999,15052,15229,14801,15246
680,15337,25178,15210,25570,14485,14543,15248,15465,15070,15300,15158,24654,15154,25870,14736,14415,15674,15495,15457,15345,15582,26896,15428,25417,14552,14238,15513,15548,15315,15058,15267,25839,15254,24633,14123,13776,15341,15537,15202,15284,15065,24693,15226,25410,13810,14425,14980,14933,15003,15001,15044,25115,15356,25569,14337,14082,15110,15170,14855,15130
690,15072,24795,15430,25578,14587,14207,15412,15354,15141,15104,15494,24997,15396,25674,14592,14127,15591,15155,15309,15245,15554,26826,15040,25538,14560,14271,15520,15853,15209,15190,15171,25675,15119,24717,14310,14071,15397,15512,15118,15370,15224,25110,14953,25296,13851,14049,15324,15016,15181,15043,15049,25209,14931,25323,14159,13900,15291,14874,14902,15067
700,15213,24672,15451,25179,14464,14476,15374,15540,15250,15174,15496,24755,15207,25311,14548,14181,15508,15550,15296,15128,15539,26723,15033,25472,14673,14537,15490,15468,14943,15253,14941,25221,15193,24709,14259,13987,15468,15378,15609,15047,15050,24714,15018,25214,13970,14077,15148,15121,14967,14770,15000,24983,15230,25208,13979,14013,15149,15353,14880,14987
710,15362,24987,15239,25425,14361,14613,15501,15549,15304,15297,15168,24538,15326,25230,14540,14121,15608,15849,15256,15535,15371,26553,15224,25474,14402,14355,15417,15633,15325,15084,15302,25474,15215,25033,14457,14010,15550,15547,15186,15361,15044,24624,15091,25137,13949,14245,15017,15093,15314,15071,14821,25143,15124,25553,14199,14152,15000,15278,15193,15161
720,15278,24752,15243,25251,14451,14422,15611,15606,15343,15117,15395,24734,15292,25298,14676,13961,15789,15479,15354,15117,15123,26810,15249,25604,14499,14277,15437,15836,15016,15167,15068,25624,14882,24753,14408,13906,15037,15457,15269,15081,15056,24916,15045,25189,14082,14080,15304,15158,15112,15271,14944,24783,15037,25700,14283,13880,15333,15065,15091,15072
730,15061,24361,15686,25117,14255,14345,15418,15332,15215,15149,15311,24468,15044,25061,14326,14581,15530,15222,15126,15229,15344,26476,15086,25193,14457,14045,15577,15412,15674,14883,15037,25279,15219,24710,14308,14110,15365,15614,15257,15280,15194,24271,15125,25440,14093,13984,15555,15230,15097,14905,15103,24666,14892,25118,14002,14128,14715,15092,14958,15085
