24-12-20 16-04-02 mCherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-12-20 16-04-02 mCherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,
C02,15225,14816,14677,14530,14364,14551,14332,14472,14357,14611,14462,14399,14525,14538,14536,14387,14467,14410,14470,14419,14539,14549,14585,14471,14540,14846,14973,14861,15001,15281,15141,15132,15312,15359,15413,15219,15191,15198,15522,15405,15469,15175,15502,15359,15282,15044,15325,15457,15506,15563,15251,15347,15308,15479,15273,15472,15448,15489,15318,15332,15473,15269,15172,15322,15290,15275,15398,15273,15158,15494,15496,15168,15395,15311,15434,15249,15452,15174,15390,15303,15400,15414,15464,15289,15198,15281,15013,15438,15447,15533,15254,15447,15493,15513,15642,15687,15365,15713,15245,15267,15416,15492,15541,15173,15469,15384,15429,15145,15268,15264,15078,15398,15273,15390,15573,15548,15265,15574,15354,15307,15444,15388,15377,15278,15282,15436,15236,15391,15126,15355,
C03,15033,14702,14720,14409,14215,14164,14406,14424,14382,14351,14696,14499,14566,14519,14758,14713,14973,15095,15228,15393,15543,15691,16250,16363,16835,17431,18197,19016,19954,21068,22169,23674,25077,26592,24610,22493,22596,22577,23347,23371,23737,23760,23725,23897,24341,24388,24377,24292,24451,24980,24604,24667,24594,24636,24872,24660,24852,24730,24709,24377,24755,24612,24283,24477,24525,24662,25086,24516,24654,24997,24755,24538,24734,24468,24459,24304,24721,24748,24462,24526,24675,24513,24261,24404,24307,24330,24448,24084,24533,24340,24550,24457,24542,24588,24167,24479,24545,24194,24639,24102,24440,24612,24558,24495,24332,24723,24540,24866,24403,24481,24614,24517,24579,24544,24909,24684,24372,24455,24558,24310,24330,24502,24255,24192,24357,24446,24645,24463,23793,24626,
C04,15005,14623,14677,14506,14186,14252,14460,14367,14375,14208,14233,14186,14295,14388,14033,14307,14470,14316,14055,14302,14187,14423,14474,14398,14462,14766,14675,14246,14495,14678,14982,14773,14801,14888,14941,14980,15219,15152,15471,14915,15146,15223,15071,15032,15163,15392,15202,15012,15157,15110,15174,15285,15127,15176,15373,15100,15356,15347,15428,15299,15460,15022,15171,15276,15130,15275,15233,15243,15154,15396,15207,15326,15292,15044,15225,15187,15107,15134,15261,15309,15257,15329,15380,15376,15181,15014,15436,15259,15354,15233,15374,15300,15329,15332,15480,15251,15356,15084,15235,15321,15485,15261,15284,15497,15260,15586,15431,15241,15184,15291,15243,15447,15221,15297,15225,15334,15093,15365,15327,15379,15491,15412,15425,15160,15485,15166,15469,15198,15309,15304,
C05,15524,15035,14721,14769,14654,14776,14433,14304,14532,14808,14757,14674,14744,14851,14841,14647,14985,15137,14967,15068,15203,15274,15598,15777,16131,16003,16547,16870,17211,17785,18503,19366,20385,21560,22904,23703,25221,26234,23775,22602,22779,23455,23247,23619,23682,24132,24211,24446,24438,24547,24881,24661,24742,25081,24962,24973,25103,24919,25237,24839,25126,25126,24913,25179,25231,25350,25407,25414,25870,25674,25311,25230,25298,25061,25198,24686,25102,24888,25126,25078,25189,24876,24922,25164,25016,24724,25177,25046,25561,25385,25436,25219,25010,25053,25162,25019,25169,25035,24872,24959,25187,25365,25311,25193,25352,25431,25210,25218,25133,25407,25148,25625,25296,25309,25611,24999,25322,25058,25623,25176,25012,24851,25057,25379,25231,25273,25371,25231,25050,25244,
C06,15645,14979,14905,14492,14861,14690,14855,14871,14776,14715,14669,14710,14867,15045,14808,14786,14780,14908,14787,14662,14955,14864,14797,14723,14739,14628,14693,14601,14929,14719,14732,14566,15001,14575,14876,14675,14528,14467,14769,14697,14598,14494,14672,14596,14650,14855,14631,14635,14479,14865,14593,14438,14742,14505,14525,14605,14717,14549,14443,14728,14620,14615,14403,14451,14415,14664,14614,14651,14736,14592,14548,14540,14676,14326,14429,14505,14565,14492,14532,14474,14436,14498,14469,14661,14472,14382,14492,14426,14533,14603,14398,14714,14428,14578,14435,14342,14473,14396,14465,14561,14528,14297,14293,14423,14452,14596,14561,14410,14252,14546,14247,14397,14250,14648,14341,14227,14522,14425,14272,14414,14578,14751,14300,14311,14417,14599,14286,14269,14550,14297,
C07,14964,14895,14753,14627,14433,14529,14608,14235,14371,14505,14448,14355,14344,14552,14391,14298,14454,14284,14532,14385,14175,14432,14258,14367,14353,14230,14398,14328,14355,14426,14382,14320,14311,14325,14016,14293,14135,14220,14304,14258,14543,14253,14362,14306,14153,14338,14134,14402,14105,14194,14090,14170,14202,14291,14353,14206,14094,14231,14481,14153,14092,14259,13982,14178,14160,14132,14027,14110,14415,14127,14181,14121,13961,14581,14233,14322,14161,14096,14151,14138,14277,14038,14287,14103,13882,14269,14002,14324,14301,14048,14257,13972,14112,14067,14041,14024,14112,14042,14268,14395,14226,13871,14006,14244,14120,14245,13950,14013,14125,14063,14197,14130,14009,14069,14054,14047,14075,14155,13917,13804,13845,14043,14016,14162,14197,14109,14109,14085,14103,14035,
C08,15209,15053,14665,14691,14540,14560,14662,14695,14773,14659,14651,14637,14717,14772,14591,14578,14971,14509,14753,14703,14822,14782,14761,15057,14938,15132,14862,15111,15301,15518,15500,15373,15443,15815,15502,15509,15598,15661,15354,15543,15721,15360,15724,15618,15654,15442,15659,15631,15528,15466,15626,15559,15876,15446,15568,15429,15523,15410,15496,15812,15748,15663,15662,15286,15496,15627,15681,15628,15674,15591,15508,15608,15789,15530,15491,15784,15566,15625,15534,15633,15913,15724,15613,15615,15770,15522,15695,15592,15376,15647,15400,15629,15600,15641,15439,15630,15737,15726,15843,15611,15507,15514,15546,15770,15638,15574,15687,15551,15620,15437,15403,15573,15659,15273,15544,15691,15653,15619,15465,15568,15656,15493,15470,15589,15385,15625,15366,15561,15604,15663,
C09,15385,14950,14898,14362,14520,14552,14538,14473,14337,14449,14700,14789,14486,14629,14582,14665,14689,14696,14609,14788,14873,14549,14889,14764,14794,14956,14877,14900,15158,15208,15187,15509,15273,15341,15477,15541,15363,15493,15530,15301,15015,15234,15571,15564,15292,15700,15360,15445,15337,15296,15271,15458,15677,15497,15709,15412,15518,15423,15527,15180,15649,15432,15075,15414,15373,15555,15360,15601,15495,15155,15550,15849,15479,15222,15299,15454,15634,15655,15254,15547,15409,15310,15414,15397,15532,15443,15405,15559,15457,15600,15818,15399,15419,15625,15531,15678,15446,15292,15681,15553,15086,15297,15391,15432,15549,15377,15746,15537,15371,15365,15669,15454,15519,15351,15220,15324,15299,15241,15473,15366,15587,15470,15310,15233,15383,15353,15579,15341,15600,15596,
C10,15177,14949,14763,14600,14472,14216,14081,14452,14163,14498,14366,14224,14459,14260,14509,14221,14172,14322,14084,14478,14400,14465,14518,14531,14326,14396,14552,14727,14831,14915,14851,14887,14962,15169,15123,15539,14981,15356,15156,15382,15170,15052,15532,15093,15176,15435,15215,15334,15415,15344,15095,15489,15216,15241,15068,15196,15561,15140,15473,15455,15055,15406,15239,15070,15088,15587,15446,15093,15457,15309,15296,15256,15354,15126,15288,15468,15145,15340,14909,15426,15139,15432,15304,15041,15409,15443,15278,15298,15115,15424,15154,15413,15323,15126,15300,15065,15205,15160,15171,15261,15260,15358,15191,15259,15031,15035,14981,15359,15278,15235,15389,15102,15097,15278,15309,15256,15141,14999,15097,15167,15241,15262,15081,15120,15402,15114,14954,15263,15002,15228,
C11,15139,14494,14466,14363,14306,14181,14319,14179,14270,14211,14298,14287,14283,14449,14394,14482,14388,14323,14199,14474,14335,14523,14457,14566,14633,14476,14842,14798,15089,14814,14860,15073,15192,15166,15268,15204,14834,15213,14928,15337,15046,15076,15318,15248,15120,15224,15516,15173,15104,15035,15363,15288,15095,15250,15288,15235,15347,15356,15179,15283,15286,15265,15192,15334,14941,14916,15280,15284,15345,15245,15128,15535,15117,15229,15228,15282,15264,15407,15122,15238,15184,15135,15371,15237,15566,15167,15151,15484,15188,15378,15439,15216,15189,15309,15483,15108,15122,15528,15212,15232,15409,15127,15266,15071,15382,15259,15227,15233,15260,15438,15028,15420,15342,15104,15270,15212,15236,15302,15215,15190,15294,15317,15204,15217,15495,15174,15441,15304,15330,15150,
