Time,B02,B03,B04,B05,B08,B09,B10,B11,C02,C03,C04,C05,C08,C09,C10,C11,D02,D03,D04,D05,D08,D09,D10,D11,E02,E03,E04,E05,E08,E09,E10,E11,F02,F03,F04,F05,F08,F09,F10,F11,G02,G03,G04,G05,G08,G09,G10,G11
910,15077,24406,15423,25022,15186,15406,15371,15130,15447,24457,15300,25219,15629,15399,15413,15216,15375,26553,15289,25750,15443,15804,15180,15122,15238,25542,14928,24601,15206,15499,15450,14961,15300,24246,15184,24907,15297,14991,15361,15139,15083,24831,15022,25238,15064,15296,15029,14967
920,15405,24542,15334,25263,15396,15370,15175,15282,15493,24542,15329,25010,15600,15419,15323,15189,15248,26684,15239,25363,15355,15436,15133,15374,15368,25445,15135,24270,15421,15450,15467,15147,15057,23944,15113,24862,15254,15014,15192,14943,14771,24696,15105,25453,15298,14813,14930,15052
930,15453,24948,15588,25079,15545,15130,15289,15043,15513,24588,15332,25053,15641,15625,15126,15309,15480,26809,15353,25727,15410,15590,15421,15395,15264,25954,15141,24556,15293,15468,15252,15135,15137,24691,15114,25107,15376,15120,15248,15002,14919,24776,15102,25753,15131,14966,15023,14832
940,15354,24763,15159,25261,15387,15694,15318,15214,15642,24167,15480,25162,15439,15531,15300,15483,15257,26873,15134,25816,15626,15534,15348,15262,15307,25871,15140,24486,15530,15562,15467,15016,15008,24586,14957,25117,15356,15097,15197,15156,15018,25068,15106,25445,15206,15086,14890,15087
950,15297,24662,15310,25088,15794,15477,15341,15067,15687,24479,15251,25019,15630,15678,15065,15108,15531,26645,15281,25189,15501,15560,15422,15444,15156,25802,14984,24585,15472,15697,15445,15093,15061,24280,15232,24996,15206,14962,15389,14902,14890,24742,15107,25165,15124,14784,14855,15244
960,15281,24620,15403,25545,15485,15638,15108,15331,15365,24545,15356,25169,15737,15446,15205,15122,15367,27168,15092,25719,15551,15516,15385,15321,15156,25843,15222,24616,15382,15824,15499,15088,15417,24191,15023,25122,15282,15240,15316,14927,15055,24614,15058,25251,15170,14989,14940,14899
970,15395,24422,15316,24896,15541,15671,15430,15306,15713,24194,15084,25035,15726,15292,15160,15528,15258,27056,14981,25318,15352,15617,15398,15151,15133,25890,15027,24164,15448,15657,15024,15088,15164,24275,15138,24642,15173,15069,15157,15070,15055,24236,15185,25004,15187,15059,15128,15240
980,15205,24459,15270,25549,15084,15593,15206,15018,15245,24639,15235,24872,15843,15681,15171,15212,15378,27143,15403,25568,15427,15593,15496,15343,15172,25809,15214,24473,15542,15395,15065,15361,15342,23994,15227,25115,14989,15342,15276,15081,14823,24834,15126,25286,15098,15226,14815,15038
990,15293,24492,15718,24854,15492,15614,15215,15259,15267,24102,15321,24959,15611,15553,15261,15232,15354,27005,15395,25340,15268,15645,15162,15228,15101,25380,15355,24096,15410,15614,15428,15094,15257,24155,15358,25047,15164,14829,15037,15093,14938,24653,14900,25175,15219,15267,15008,15079
1000,15148,24344,15018,25057,15537,15309,15061,15210,15416,24440,15485,25187,15507,15086,15260,15409,15009,27157,15180,25545,15533,15634,15076,15178,15191,25742,15095,24372,15569,15638,15310,15148,15118,24090,15165,24606,15044,15115,15101,14976,15027,24433,15224,25239,15071,14846,14758,15141
1010,14939,24583,15451,25325,15599,15643,15060,15247,15492,24612,15261,25365,15514,15297,15358,15127,15472,27053,15164,25637,15386,15615,15283,15189,15327,26031,14812,24268,15310,15620,15179,15107,15223,23811,15028,24957,15086,15162,15138,14941,14974,24678,15156,25388,15317,15058,15019,14939
1020,15137,24679,15341,25504,15382,15314,15085,15303,15541,24558,15284,25311,15546,15391,15191,15266,15331,27096,15377,25724,15580,15724,15293,15111,15326,26067,15181,24359,15432,15659,15395,15169,15084,24046,15103,24914,15121,15046,15174,15019,14925,24477,15178,25660,15080,15052,15031,15076
1030,15195,24764,15329,25201,15249,15531,15231,15371,15173,24495,15497,25193,15770,15432,15259,15071,15311,27243,15038,25674,15290,15758,15350,15194,14936,26170,15131,24651,15275,15432,15568,15278,15049,24375,15074,25063,15137,15041,15284,14960,14889,24982,15034,25718,15119,14904,14901,14933
1040,15337,24443,15142,25278,15669,15442,15427,15123,15469,24332,15260,25352,15638,15549,15031,15382,15727,26980,15209,25785,15561,15730,15283,15207,14814,25542,15375,24705,15416,15527,15487,15291,15032,24325,15061,24887,15510,14846,15159,15054,15065,24846,15245,25383,15138,14830,14847,15124
1050,15382,24831,15383,25790,15481,15335,15405,15252,15384,24723,15586,25431,15574,15377,15035,15259,15404,27036,15281,25877,15458,15670,15437,15348,15253,26058,15150,24540,15207,15620,15510,15467,14963,24065,15042,25059,15340,14965,15471,14975,14826,24857,15148,25857,15041,15165,15015,14868
1060,15189,25144,15294,25096,15278,15391,15250,15231,15429,24540,15431,25210,15687,15746,14981,15227,15479,26938,15341,25820,15480,15516,15383,15093,15173,25873,15003,24460,15295,15465,15440,15130,15164,24292,15230,24926,15246,14931,15228,14877,14884,25024,14996,25743,14964,15019,14902,15027
1070,15134,24466,15486,25141,15629,15295,15301,15215,15145,24866,15241,25218,15551,15537,15359,15233,15572,26987,15225,25711,15288,15690,15183,15317,15206,25831,15148,24446,15401,15603,15286,14947,15018,24242,15269,24813,15278,15185,15115,15140,14778,24921,15241,25738,15064,15130,14758,15122
1080,15214,24667,15286,25449,15212,15264,15086,15053,15268,24403,15184,25133,15620,15371,15278,15260,15282,27178,15184,26101,15556,15760,15253,15145,14926,25954,15319,24586,15381,15519,15435,15103,15110,24228,15018,25422,15350,15275,14884,14999,14870,24881,14973,25776,15280,15098,15057,15042
1090,15399,24957,15617,25623,15826,15535,15235,15338,15264,24481,15291,25407,15437,15365,15235,15438,15415,27062,15467,26340,15538,15722,15282,15304,15313,26034,15108,24574,15549,15706,15192,15299,15093,24528,15239,24914,15427,15007,15257,14933,15037,24790,15176,25376,15082,15186,15072,14934
1100,15338,24621,15121,25501,15509,15680,15221,15181,15078,24614,15243,25148,15403,15669,15389,15028,15178,26803,15097,25845,15705,15501,15249,15188,15014,26673,15308,24478,15438,15594,15276,15422,15083,24456,15398,25251,15418,15082,15433,14844,15021,24977,14845,25650,15297,15106,14976,15103
1110,15050,24582,15401,25057,15478,15356,15316,15176,15398,24517,15447,25625,15573,15454,15102,15420,15227,27400,15440,26141,15663,15539,15151,15211,15443,25946,15026,24457,15165,15673,15258,15291,15342,24033,15009,25074,15043,14937,15234,15199,14992,25096,15009,25780,15113,14949,14979,15313
1120,15418,24438,15327,25596,15659,15649,15175,15001,15273,24579,15221,25296,15659,15519,15097,15342,15448,26951,15269,25887,15491,15737,15312,15359,15185,26399,15260,24730,15663,15715,15552,15189,15133,24498,15175,25247,15307,15232,15141,15092,15203,25018,15026,25638,15213,15324,14992,15232
1130,15488,24531,15507,25617,15608,15516,15074,14961,15390,24544,15297,25309,15273,15351,15278,15104,15319,27170,15197,25826,15321,15651,15120,15123,14909,26111,15183,24652,15349,15534,15337,15334,15061,24259,14987,25102,15373,15242,14907,15128,14802,24899,15140,25917,15232,15136,14926,15103
1140,15115,25081,15698,25530,15494,15536,15296,15121,15573,24909,15225,25611,15544,15220,15309,15270,15348,27151,15151,25926,15583,15636,15414,15011,15070,25961,15295,24458,15441,15730,15516,15163,15077,24569,15114,25105,15258,15216,15426,14868,15017,24897,14823,25921,15304,15256,15053,15095
1150,15247,24656,15343,25340,15532,15456,15315,15238,15548,24684,15334,24999,15691,15324,15256,15212,15278,26962,15296,25659,15321,15610,15325,15306,15062,25794,15103,24245,15621,15428,15472,15146,15272,23755,15189,25055,15205,15215,15428,14784,14995,24548,15073,25224,15159,15054,15002,15033
1160,15247,24705,15423,25452,15393,15342,15467,15131,15265,24372,15093,25322,15653,15299,15141,15236,15635,26802,15199,25531,15303,15628,15448,15047,15214,25853,15112,24652,15358,15589,15473,15374,14996,24162,15136,24983,15426,15307,15128,14977,14934,24921,15076,25726,15291,15090,14888,15069
1170,15120,24794,15186,25405,15690,15380,15313,15114,15574,24455,15365,25058,15619,15241,14999,15302,15291,27292,15105,25926,15264,15741,15149,15009,15217,26156,15131,24610,15026,15476,15295,15226,15067,24261,14894,25027,15127,15351,15101,14859,14936,24828,15199,25590,15138,15239,14788,14953
1180,15487,24540,15281,25179,15640,15484,15364,15385,15354,24558,15327,25623,15465,15473,15097,15215,15367,27073,15048,25468,15227,15226,15283,15515,15209,25861,14878,24385,15286,15696,15369,15259,15284,23995,15000,25087,15588,15289,15337,14830,14899,24861,15507,25888,15384,15098,15160,15150
1190,15011,24309,15419,25572,15618,15590,15413,15319,15307,24310,15379,25176,15568,15366,15167,15190,15411,26990,15406,25955,15736,15407,15422,15178,15026,25591,15067,24614,15337,15658,15168,15169,15216,24023,15255,24956,15324,15380,15303,15146,14883,24709,14939,25537,15251,14953,15052,15209
1200,15024,24567,15309,25358,15501,15184,15217,15207,15444,24330,15491,25012,15656,15587,15241,15294,15299,26916,15241,25507,15611,15485,15060,15228,14882,25728,15073,23866,15597,15644,15329,15374,15132,23883,15294,24680,15115,14959,15187,14882,15081,24433,15029,25162,15441,15350,14762,14995
1210,15277,24267,15335,25045,15367,15582,15436,15303,15388,24502,15412,24851,15493,15470,15262,15317,15443,26762,14991,25642,15478,15464,15360,15158,15173,25760,15042,24100,15354,15607,15433,15220,15320,24058,15329,24760,15386,15099,15127,14955,15091,24520,14992,25368,15080,15327,14831,14968
1220,15136,24742,15641,25181,15165,15173,15317,15216,15377,24255,15425,25057,15470,15310,15081,15204,15351,26805,15171,25580,15751,15681,15337,15098,15164,25716,15083,24334,15440,15789,15353,15141,15097,24176,14980,24757,15244,15244,15241,15124,15222,24648,15300,25305,15461,15347,15059,14991
1230,15310,24549,15450,25536,15366,15735,15301,15503,15278,24192,15160,25379,15589,15233,15120,15217,15313,27251,15307,25658,15353,15580,15282,15276,15022,26162,15132,24423,15604,15445,15311,15409,15209,24124,15150,24853,15287,14933,15112,15190,15049,24380,15185,25126,15075,15168,15026,15145
1240,15368,24708,15381,25247,15332,15439,15215,15337,15282,24357,15485,25231,15385,15383,15402,15495,15325,26964,15195,25607,15691,15408,15320,15237,15418,25926,15147,24308,15412,15633,15316,15500,15351,23899,15084,24836,15257,15042,15147,14978,15165,24615,15219,25307,15274,15232,14862,15071
1250,15260,24779,15377,25328,15547,15508,15477,15244,15436,24446,15166,25273,15625,15353,15114,15174,15228,27588,15043,25914,15471,15940,15412,15309,15127,26261,15382,24590,15211,15395,15203,15288,15078,24139,14994,24801,15213,15010,15286,15225,15103,24739,14843,25874,15283,15189,15057,15211
1260,15135,24596,15225,25191,15413,15695,15184,15145,15236,24645,15469,25371,15366,15579,14954,15441,15364,26916,15087,25759,15513,15664,15504,15137,14920,25863,15117,24357,15378,15800,15183,15310,15415,24071,15042,25075,15261,14884,15257,15081,14767,24656,14972,25621,15253,15254,14866,15038
1270,15377,24636,15412,25295,15456,15669,15140,15182,15391,24463,15198,25231,15561,15341,15263,15304,15298,27447,15321,26271,15411,15775,15379,15172,14866,26154,15110,24985,15275,15660,15338,15481,15313,24199,14948,25017,15179,15073,15314,15077,14609,24517,15158,25770,15316,15127,14973,14882
1280,15228,24383,15329,25216,15384,15249,15368,15194,15126,23793,15309,25050,15604,15600,15002,15330,15252,26731,15117,25745,15364,15810,15474,15299,15128,25807,14801,23994,15458,15446,15221,15388,15117,23952,15063,24680,15199,15065,15212,15290,14889,24250,15113,25351,15219,15106,14975,15124
1290,15205,24445,15407,25293,15597,15522,15331,15491,15355,24626,15304,25244,15663,15596,15228,15150,15416,27537,14892,25678,15600,15691,15619,15045,14876,26337,15295,24454,15347,15656,15456,14977,15337,23687,15216,24938,15370,14943,15303,15093,14715,24585,15307,25601,15330,15141,15071,15011
