Time,B02,B03,B04,B05,B08,B09,B10,B11,C02,C03,C04,C05,C08,C09,C10,C11,D02,D03,D04,D05,D08,D09,D10,D11,E02,E03,E04,E05,E08,E09,E10,E11,F02,F03,F04,F05,F08,F09,F10,F11,G02,G03,G04,G05,G08,G09,G10,G11
200,14257,15662,14492,15328,14802,14598,14373,14259,14539,15543,14187,15203,14822,14873,14400,14335,14492,15478,14399,15319,14791,14868,14479,14780,14161,15449,14372,15213,14334,14507,14630,14452,14320,15074,14161,15217,14639,13995,14487,14085,14018,14950,14266,15003,14275,14376,14241,14386
210,14225,15733,14563,15501,14667,14419,14492,14480,14549,15691,14423,15274,14782,14549,14465,14523,14535,15495,14387,15324,14488,14470,14546,14425,14040,15724,14520,15232,14663,14688,14571,14407,14267,14910,14305,15092,14372,14318,14194,14161,13944,15057,14256,15221,14495,14328,14100,14264
220,14196,15760,14739,15364,14706,14870,14584,14348,14585,16250,14474,15598,14761,14889,14518,14457,14320,15877,14676,15251,14687,14554,14451,14674,14116,15808,14353,15483,14606,14616,14378,14595,14146,15226,14375,15569,14510,14537,14382,14294,13914,15054,14545,15549,14236,14392,14179,14120
230,14297,16376,14627,15863,14702,14739,14455,14661,14471,16363,14398,15777,15057,14764,14531,14566,14373,15870,14354,15914,14854,14497,14719,14479,14305,16233,14450,15427,14656,14718,14324,14601,14241,15474,14452,15775,14546,14175,14252,14265,14097,15558,14133,15534,14083,14382,14255,14224
240,14502,16759,14655,16098,14758,14707,14687,14454,14540,16835,14462,16131,14938,14794,14326,14633,14330,16451,14477,16008,14956,14885,14664,14562,14248,16012,14513,16026,14540,14796,14610,14722,14443,15578,14381,16043,14394,14617,14442,14256,14086,15593,14343,15910,14523,14464,14315,14488
250,14293,17345,14545,15962,14881,14834,14286,14707,14846,17431,14766,16003,15132,14956,14396,14476,14481,16359,14380,16190,14886,14291,14742,14734,14181,16376,14628,16025,14704,14683,14490,14596,14353,15733,14337,16303,14622,14501,14544,14752,14151,15921,14490,15940,14469,14554,14266,14421
260,14387,18202,14716,16610,14749,15117,14633,14778,14973,18197,14675,16547,14862,14877,14552,14842,14552,16909,14833,16442,14968,14732,14973,14789,14261,16724,14707,16232,14765,14774,14714,14697,14541,16381,14485,16686,14718,14406,14486,14421,14114,15954,14623,16484,14372,14680,14798,14704
270,14486,18966,14252,17086,15053,15011,14580,14808,14861,19016,14246,16870,15111,14900,14727,14798,14464,16675,14863,17229,14818,15095,14934,14558,14270,16791,14943,16575,14594,14606,14985,14853,14424,16877,14484,16968,14871,14421,14861,14736,14414,16324,14533,17099,14503,14679,14585,14505
280,14512,20186,14573,17763,14940,15097,14769,14932,15001,19954,14495,17211,15301,15158,14831,15089,14493,17045,14721,17362,14792,14853,14751,14833,14266,17264,14939,17134,14899,14874,14827,14923,14513,17431,14476,17371,14536,14874,14635,14745,14598,16984,14605,17246,14483,14678,14732,14503
290,14741,21021,14423,18637,14873,15090,14668,14868,15281,21068,14678,17785,15518,15208,14915,14814,14439,17535,15054,18345,14863,15022,15084,14798,14232,17393,14902,18275,14712,14671,15078,15132,14853,17950,14626,18400,14952,14823,14678,14662,14540,17562,14861,18259,14741,14965,14683,14560
