Time,WT MADP,WT rhamP,MAD1 MADP,MAD1 rhamP,DP01 MADP,DP01 rhamP,MAD4 MADP,MAD4 rhamP,△MADS MADP,△MADS rhamP,MAD8 MADP,MAD8 rhamP
810,15488,15610,15468,15148,15587,15434,15299,15000,15418,15120,15225,14948
820,15379,15861,15386,15175,15319,15550,15256,15346,15190,14962,15126,14755
830,15260,15431,15325,15156,15444,15688,15364,15261,15335,15157,15309,15131
840,15462,15792,15391,15432,15539,15460,15318,15228,15147,15046,15395,14983
850,15340,15246,15152,14994,15292,15511,15377,14984,15380,15201,15287,15030
860,15364,15525,15520,15124,15456,15627,15591,15286,15338,14870,15120,15046
870,15353,15470,15386,15269,15382,15702,15516,15037,15014,15026,15365,15148
880,15493,15413,15278,15011,15399,15572,15233,15237,15258,14970,15008,15104
890,15467,15686,15196,15371,15878,15643,15277,15156,15365,15250,15262,14898
900,15557,15564,15275,15075,15449,15516,15752,15158,15431,15020,15286,15005
910,15186,15406,15371,15130,15443,15804,15180,15122,15297,14991,15361,15139
920,15396,15370,15175,15282,15355,15436,15133,15374,15254,15014,15192,14943
930,15545,15130,15289,15043,15410,15590,15421,15395,15376,15120,15248,15002
940,15387,15694,15318,15214,15626,15534,15348,15262,15356,15097,15197,15156
950,15794,15477,15341,15067,15501,15560,15422,15444,15206,14962,15389,14902
960,15485,15638,15108,15331,15551,15516,15385,15321,15282,15240,15316,14927
970,15541,15671,15430,15306,15352,15617,15398,15151,15173,15069,15157,15070
980,15084,15593,15206,15018,15427,15593,15496,15343,14989,15342,15276,15081
990,15492,15614,15215,15259,15268,15645,15162,15228,15164,14829,15037,15093
1000,15537,15309,15061,15210,15533,15634,15076,15178,15044,15115,15101,14976
1010,15599,15643,15060,15247,15386,15615,15283,15189,15086,15162,15138,14941
1020,15382,15314,15085,15303,15580,15724,15293,15111,15121,15046,15174,15019
1030,15249,15531,15231,15371,15290,15758,15350,15194,15137,15041,15284,14960
1040,15669,15442,15427,15123,15561,15730,15283,15207,15510,14846,15159,15054
1050,15481,15335,15405,15252,15458,15670,15437,15348,15340,14965,15471,14975
1060,15278,15391,15250,15231,15480,15516,15383,15093,15246,14931,15228,14877
1070,15629,15295,15301,15215,15288,15690,15183,15317,15278,15185,15115,15140
1080,15212,15264,15086,15053,15556,15760,15253,15145,15350,15275,14884,14999
1090,15826,15535,15235,15338,15538,15722,15282,15304,15427,15007,15257,14933
1100,15509,15680,15221,15181,15705,15501,15249,15188,15418,15082,15433,14844
1110,15478,15356,15316,15176,15663,15539,15151,15211,15043,14937,15234,15199
1120,15659,15649,15175,15001,15491,15737,15312,15359,15307,15232,15141,15092
1130,15608,15516,15074,14961,15321,15651,15120,15123,15373,15242,14907,15128
1140,15494,15536,15296,15121,15583,15636,15414,15011,15258,15216,15426,14868
1150,15532,15456,15315,15238,15321,15610,15325,15306,15205,15215,15428,14784
1160,15393,15342,15467,15131,15303,15628,15448,15047,15426,15307,15128,14977
1170,15690,15380,15313,15114,15264,15741,15149,15009,15127,15351,15101,14859
1180,15640,15484,15364,15385,15227,15226,15283,15515,15588,15289,15337,14830
1190,15618,15590,15413,15319,15736,15407,15422,15178,15324,15380,15303,15146
1200,15501,15184,15217,15207,15611,15485,15060,15228,15115,14959,15187,14882
1210,15367,15582,15436,15303,15478,15464,15360,15158,15386,15099,15127,14955
1220,15165,15173,15317,15216,15751,15681,15337,15098,15244,15244,15241,15124
1230,15366,15735,15301,15503,15353,15580,15282,15276,15287,14933,15112,15190
1240,15332,15439,15215,15337,15691,15408,15320,15237,15257,15042,15147,14978
1250,15547,15508,15477,15244,15471,15940,15412,15309,15213,15010,15286,15225
1260,15413,15695,15184,15145,15513,15664,15504,15137,15261,14884,15257,15081
1270,15456,15669,15140,15182,15411,15775,15379,15172,15179,15073,15314,15077
1280,15384,15249,15368,15194,15364,15810,15474,15299,15199,15065,15212,15290
1290,15597,15522,15331,15491,15600,15691,15619,15045,15370,14943,15303,15093
